replies User_IDs
     96 1229752606714728454
     36 19739126
     35 308045021
     31 29447428
     31 1387010761994682371
     29 956266072440635392
     28 492736486
     21 1373739644
     21 1236324668640047105
     20 804582780298412032
     18 90732175
     18 26347394
     17 351120282
     17 2530758806
     17 2245822809
     17 19604599
     15 1475643712596168706
     14 877968869138329601
     14 756584190112591872
     14 588688280
     14 1384053916690571264
     12 879713479254528005
     12 155930120
     12 1349149096909668363
     11 94350709
     11 90651198
     11 728273994
     11 420617857
     11 1652541
     11 1573800344
     11 1236816024281976833
     11 1046608631968538624
     10 64698201
     10 2962813893
     10 2809959174
     10 27493883
      9 938758536938557440
      9 614600545
      9 2800843867
      9 26562883
      9 237176284
      9 21525682
      9 1462548977367359490
      9 1344356576786866176
      9 1275209472
      9 113165445
      8 3832
      8 14344823
      8 14260960
      8 1096205507348623360
      8 1074480192
      7 983813914596118529
      7 832019161454817280
      7 799717156589965312
      7 3300678755
      7 324703658
      7 302984766
      7 29459695
      7 255812611
      7 24931027
      7 2264401871
      7 225779417
      7 1917731
      7 17477864
      7 153517357
      7 1137827292
      7 11134252
      6 977204844
      6 848148994102611969
      6 807095
      6 58487473
      6 409657315
      6 36134224
      6 343713611
      6 262219168
      6 2598999181
      6 2352629311
      6 2153626892
      6 16799453
      6 142332083
      6 1391884924173627395
      6 1260792878420291584
      6 1003107003693137921
      5 978758798176382977
      5 940778288871542786
      5 898565402346827779
      5 889054752230735872
      5 885891622919184384
      5 833988769
      5 816652616625168388
      5 80040960
      5 799911790398373888
      5 793520017
      5 71048726
      5 67805368
      5 558818756
      5 548384458
      5 523411543
      5 519897737
      5 499154896
      5 471426839
      5 47094621
      5 467726691
      5 454099919
      5 39002335
      5 355422278
      5 31194003
      5 306832085
      5 2987245137
      5 2904241896
      5 2245797112
      5 18166778
      5 179313631
      5 15801906
      5 151606599
      5 1488966025257312262
      5 138168339
      5 1201670995435646976
      5 118166719
      5 1177718582
      5 1120633726478823425
      5 1113747629282930688
      5 1080844782
      5 105433445
      5 1005846500583321601
      4 96152544
      4 954005058793832448
      4 945762498883588097
      4 90679076
      4 878247600096509952
      4 86626845
      4 834081571493785600
      4 80802900
      4 775611351792222208
      4 746652122
      4 605153786
      4 603724114
      4 58974496
      4 54391597
      4 52585436
      4 51241574
      4 486834536
      4 48325671
      4 44196397
      4 435331179
      4 43277776
      4 4091551984
      4 39508140
      4 3866705320
      4 381685461
      4 315779591
      4 2975091705
      4 289548939
      4 28221296
      4 269794637
      4 26637348
      4 262461547
      4 239103376
      4 20751145
      4 19678937
      4 178711456
      4 16106584
      4 152656121
      4 15207668
      4 14362766
      4 1424033022
      4 1393936924830732288
      4 1375592430624518156
      4 1298372735383605249
      4 1278236816936710144
      4 1252988129708929024
      4 1241938664
      4 1238370241169616897
      4 117122035
      4 1155845777039810560
      4 1136667717317091328
      4 1108565574
      4 1104524508709441536
      4 1060751816
      3 978823376
      3 970994516357472257
      3 966695335887241219
      3 950261179536084992
      3 949892499878719488
      3 935368364
      3 923799290
      3 919828292387061761
      3 91583544
      3 879147821915615233
      3 874916178
      3 871464343040393218
      3 849376476877266944
      3 820452522494226433
      3 818975124460335106
      3 813314931147816960
      3 79352723
      3 785563515897524229
      3 783792992
      3 783214
      3 7786612
      3 7768402
      3 7767002
      3 7587032
      3 746417655750373376
      3 742735530287304704
      3 73397322
      3 722528529716383744
      3 713752653289955329
      3 62859096
      3 60783724
      3 532779460
      3 52770751
      3 49698134
      3 477934944
      3 46926921
      3 459872442
      3 45977763
      3 4541535439
      3 45342709
      3 429851351
      3 428333
      3 424144191
      3 416950760
      3 41438148
      3 39344374
      3 368240745
      3 36711022
      3 36372343
      3 342802864
      3 339724344
      3 3348628540
      3 3342600166
      3 3249260534
      3 3140730672
      3 300236092
      3 292891307
      3 29270273
      3 2926204339
      3 2924933104
      3 28785486
      3 2876041031
      3 2835962353
      3 282711900
      3 278145569
      3 27086850
      3 2583166945
      3 2574271742
      3 2561429863
      3 255471924
      3 255369151
      3 2553418813
      3 25268540
      3 2467791
      3 245789728
      3 242827267
      3 24127811
      3 23937894
      3 2332818674
      3 232427887
      3 2316383071
      3 22956018
      3 22693817
      3 2234760798
      3 22277113
      3 22189368
      3 2209106522
      3 216881337
      3 214492262
      3 21365372
      3 212445456
      3 20995648
      3 205622130
      3 203123011
      3 20280088
      3 20172153
      3 20052899
      3 19980499
      3 19899980
      3 198296897
      3 1957610664
      3 19536434
      3 1903372854
      3 189340096
      3 1891490382
      3 18440301
      3 182474563
      3 18178850
      3 180887271
      3 175694557
      3 17204460
      3 168261424
      3 16635277
      3 1640929196
      3 16129920
      3 16041234
      3 1598709350
      3 159021888
      3 15745368
      3 15678388
      3 1503925343434215425
      3 1498289437624647686
      3 1497001040398503936
      3 1491238215256141825
      3 1483959660185067526
      3 1481658762221993984
      3 1456416915065352197
      3 1449377648229195779
      3 1443759943
      3 1442256078259974154
      3 14328072
      3 14298769
      3 14247236
      3 1415344770130587649
      3 139328853
      3 1387802155810271239
      3 138203134
      3 1367531
      3 1349418249172234241
      3 1349087304233541633
      3 1341091420439015424
      3 131546062
      3 1307027256133345280
      3 1305817131234267136
      3 130120037
      3 1280478731874848769
      3 1271162030393896968
      3 1259851956
      3 1255393579507351554
      3 1237314642583658496
      3 122640580
      3 1221462414744596483
      3 1201953403099893760
      3 1201944151
      3 1176522535531360257
      3 1109045045649424386
      3 1094713876132872192
      3 108977933
      3 1077214808
      3 1066773270773547008
      3 1058807868
      3 1029041185808109568
      3 1020602380096696320
